"MinTemp","MaxTemp","Rainfall","WindGustSpeed","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainTomorrow"
"17.9","34.2","0.0","61.0","22.0","17.0","46.0","19.0","1016.4","1013.5","1.0","2.0","21.6","32.2","0"
"21.4","37.5","0.0","43.0","26.0","9.0","34.0","29.0","1013.1","1009.6","7.0","6.0","26.2","34.1","1"
"23.3","39.4","4.8","59.0","19.0","17.0","54.0","14.0","1011.1","1008.5","1.0","7.0","27.0","37.0","0"
"25.4","33.5","0.0","46.0","9.0","28.0","46.0","52.0","1012.0","1009.8","4.0","7.0","28.9","29.7","0"
"21.8","30.7","0.0","56.0","24.0","19.0","71.0","63.0","1008.6","1006.2","7.0","7.0","24.4","27.3","1"
"20.3","36.0","18.0","94.0","13.0","7.0","89.0","50.0","1008.6","1006.7","7.0","4.0","24.7","33.4","1"
"22.1","34.7","8.6","50.0","11.0","15.0","46.0","23.0","1008.6","1008.3","2.0","6.0","28.1","33.2","0"
"19.7","37.3","0.0","28.0","13.0","6.0","19.0","10.0","1013.1","1011.8","1.0","1.0","26.4","35.0","0"
"23.8","39.9","0.0","31.0","17.0","7.0","50.0","16.0","1014.6","1012.1","0.0","1.0","28.7","38.7","0"
"27.0","38.7","0.0","46.0","24.0","7.0","45.0","22.0","1015.2","1012.6","1.0","3.0","29.0","36.4","0"
"26.2","38.5","0.0","39.0","15.0","19.0","37.0","17.0","1014.4","1011.5","0.0","2.0","29.6","37.0","0"
"25.0","39.5","0.0","52.0","19.0","20.0","31.0","14.0","1014.6","1011.2","0.0","1.0","29.9","38.4","0"
"25.1","39.3","0.0","44.0","20.0","20.0","34.0","18.0","1013.8","1010.5","0.0","1.0","29.9","37.5","0"
"25.2","38.5","0.0","44.0","24.0","20.0","35.0","18.0","1015.2","1011.9","1.0","2.0","29.0","36.9","0"
"24.8","40.8","0.0","30.0","9.0","9.0","34.0","16.0","1012.9","1009.8","5.0","3.0","30.1","38.9","0"
"27.6","40.3","0.0","57.0","17.0","9.0","32.0","20.0","1010.4","1007.1","5.0","2.0","32.0","38.5","0"
"23.6","40.4","0.6","54.0","9.0","11.0","42.0","17.0","1008.4","1005.0","1.0","2.0","29.9","38.7","1"
"24.1","41.4","1.6","39.0","17.0","7.0","50.0","21.0","1007.0","1003.5","0.0","4.0","28.2","38.8","0"
"27.2","43.4","0.0","37.0","15.0","7.0","33.0","14.0","1005.9","1003.3","1.0","3.0","32.6","43.0","0"
"29.1","43.5","0.0","28.0","9.0","13.0","25.0","16.0","1007.5","1005.2","1.0","2.0","35.6","41.4","0"
"28.9","41.4","0.0","41.0","20.0","19.0","22.0","14.0","1010.4","1008.3","1.0","0.0","32.1","40.0","0"
"25.1","42.0","0.0","39.0","15.0","13.0","23.0","9.0","1009.9","1007.3","0.0","1.0","31.6","40.4","0"
"25.4","36.6","0.0","43.0","19.0","13.0","24.0","12.0","1008.6","1006.9","5.0","5.0","26.1","35.4","0"
"19.3","28.1","0.0","46.0","19.0","24.0","26.0","14.0","1010.2","1008.8","7.0","4.0","19.6","24.9","0"
"14.1","25.9","0.0","44.0","22.0","24.0","38.0","19.0","1011.9","1010.1","0.0","0.0","14.8","24.1","0"
"14.5","30.1","0.0","37.0","9.0","13.0","44.0","25.0","1013.2","1010.0","6.0","6.0","17.4","28.4","0"
"16.8","23.3","0.6","63.0","35.0","35.0","66.0","53.0","1013.8","1012.2","7.0","7.0","18.5","22.4","1"
"16.1","19.1","26.0","54.0","28.0","19.0","81.0","93.0","1014.3","1013.2","7.0","7.0","17.1","17.0","1"
"16.0","24.2","7.0","43.0","13.0","24.0","66.0","56.0","1012.1","1011.2","5.0","6.0","18.9","22.7","0"
"17.4","19.7","0.0","48.0","19.0","20.0","65.0","97.0","1011.2","1010.7","7.0","7.0","19.2","17.1","1"
"15.9","20.8","32.6","44.0","15.0","19.0","94.0","77.0","1011.9","1010.2","8.0","7.0","16.6","20.6","1"
"16.5","27.4","1.6","30.0","19.0","15.0","69.0","53.0","1009.0","1006.2","3.0","6.0","20.1","27.0","0"
"16.8","30.6","0.0","26.0","6.0","13.0","66.0","28.0","1008.7","1007.1","0.0","3.0","22.1","30.0","0"
"20.4","34.0","0.0","31.0","9.0","4.0","45.0","19.0","1011.0","1009.6","2.0","4.0","25.9","33.1","0"
"19.9","31.7","0.0","31.0","13.0","11.0","39.0","25.0","1012.5","1010.8","1.0","1.0","23.0","30.3","0"
"17.2","34.3","0.0","39.0","15.0","9.0","52.0","19.0","1013.3","1011.2","0.0","2.0","22.3","32.3","0"
"21.9","35.1","0.0","43.0","22.0","24.0","53.0","30.0","1012.8","1010.4","3.0","4.0","25.9","34.0","1"
"21.0","34.7","2.0","46.0","15.0","22.0","60.0","34.0","1013.5","1011.7","3.0","4.0","25.6","32.9","0"
"18.7","33.1","0.8","31.0","11.0","9.0","69.0","32.0","1014.9","1013.2","2.0","2.0","23.6","31.7","0"
"17.9","33.8","0.0","24.0","13.0","7.0","25.0","19.0","1014.7","1013.0","0.0","1.0","24.0","32.4","0"
"19.9","33.5","0.0","39.0","26.0","7.0","55.0","22.0","1014.5","1011.7","1.0","1.0","22.5","32.3","0"
"22.2","36.9","0.0","41.0","17.0","19.0","41.0","18.0","1010.9","1008.1","6.0","2.0","25.8","35.8","0"
"14.0","28.0","0.0","37.0","20.0","15.0","50.0","19.0","1013.6","1012.5","1.0","2.0","19.1","26.8","0"
"15.3","29.8","0.0","37.0","20.0","9.0","37.0","11.0","1019.1","1016.6","0.0","1.0","20.2","28.4","0"
"17.1","34.0","0.0","33.0","20.0","9.0","28.0","9.0","1019.0","1015.4","0.0","1.0","23.7","31.5","0"
"17.5","35.8","0.0","41.0","7.0","19.0","33.0","7.0","1015.8","1013.1","0.0","1.0","25.0","35.0","0"
"15.5","32.7","0.0","35.0","13.0","13.0","6.0","4.0","1015.5","1013.1","1.0","1.0","24.6","30.7","0"
"17.5","33.5","0.0","39.0","9.0","9.0","24.0","13.0","1014.8","1012.0","1.0","1.0","24.6","30.7","0"
"19.8","37.5","0.0","37.0","7.0","13.0","16.0","7.0","1012.6","1009.1","1.0","2.0","29.1","36.2","0"
"22.8","39.9","0.0","74.0","17.0","28.0","10.0","5.0","1006.6","1002.6","1.0","7.0","31.5","38.2","0"
"13.3","31.3","0.0","24.0","9.0","9.0","49.0","15.0","1011.6","1008.7","1.0","1.0","19.0","28.4","0"
"18.9","35.0","0.0","54.0","15.0","28.0","14.0","13.0","1008.6","1007.1","6.0","8.0","26.7","32.1","0"
"15.5","25.0","0.0","48.0","19.0","17.0","60.0","17.0","1015.4","1017.1","7.0","6.0","15.5","24.2","0"
"13.4","31.9","0.0","33.0","13.0","13.0","22.0","9.0","1019.1","1015.5","2.0","1.0","21.1","29.7","0"
"18.4","33.9","0.0","37.0","13.0","19.0","30.0","14.0","1017.3","1014.4","1.0","1.0","24.1","31.7","0"
"18.9","35.9","0.0","39.0","15.0","11.0","23.0","11.0","1016.5","1014.0","1.0","1.0","27.1","34.5","0"
"19.8","38.8","0.0","54.0","11.0","6.0","42.0","9.0","1017.1","1013.9","0.0","1.0","27.2","36.9","0"
"22.8","41.9","0.0","44.0","20.0","15.0","24.0","6.0","1014.9","1011.7","1.0","3.0","31.2","40.8","0"
"26.5","41.8","0.0","67.0","31.0","22.0","20.0","14.0","1013.0","1009.3","1.0","5.0","34.4","38.5","1"
"18.7","24.8","1.6","41.0","11.0","13.0","96.0","71.0","1015.6","1016.0","8.0","7.0","18.8","19.9","0"
"14.3","30.9","0.2","31.0","11.0","9.0","25.0","15.0","1017.8","1014.9","1.0","0.0","22.5","29.1","0"
"17.6","34.2","0.0","35.0","13.0","9.0","24.0","13.0","1016.5","1013.0","1.0","3.0","25.6","33.2","0"
"19.2","37.6","0.0","31.0","11.0","13.0","22.0","12.0","1012.9","1008.9","3.0","3.0","27.2","35.5","0"
"22.6","38.4","0.0","41.0","22.0","9.0","39.0","13.0","1009.9","1007.4","1.0","4.0","27.7","36.7","0"
"21.9","39.7","0.0","39.0","17.0","17.0","44.0","20.0","1011.7","1008.8","1.0","3.0","29.5","37.6","0"
"27.3","39.6","0.0","57.0","31.0","22.0","36.0","25.0","1008.5","1004.5","7.0","7.0","31.3","38.7","1"
"19.4","24.7","17.2","33.0","7.0","7.0","97.0","84.0","1007.7","1006.9","8.0","8.0","20.4","23.1","1"
"20.3","25.4","7.2","31.0","13.0","15.0","69.0","73.0","1010.7","1009.7","7.0","7.0","21.5","24.4","1"
"18.6","29.7","6.6","33.0","11.0","9.0","93.0","71.0","1011.9","1009.4","8.0","7.0","22.0","28.1","0"
"21.9","32.2","0.0","39.0","13.0","17.0","89.0","54.0","1012.8","1011.2","8.0","5.0","23.3","29.7","0"
"21.9","33.6","0.0","41.0","13.0","24.0","69.0","39.0","1016.7","1014.7","1.0","3.0","25.1","32.3","0"
"22.3","32.3","0.0","43.0","19.0","20.0","52.0","42.0","1017.7","1014.6","5.0","7.0","24.8","30.8","0"
"21.5","27.2","0.0","46.0","22.0","26.0","71.0","50.0","1014.7","1012.6","7.0","7.0","23.5","26.6","1"
"19.3","26.4","1.6","30.0","13.0","19.0","96.0","86.0","1011.1","1008.9","8.0","8.0","21.3","23.8","1"
"21.0","33.4","3.0","44.0","7.0","19.0","81.0","46.0","1008.2","1007.1","6.0","6.0","24.0","31.3","0"
"18.1","29.8","0.0","37.0","19.0","13.0","40.0","16.0","1015.0","1013.0","1.0","1.0","20.7","28.1","0"
"16.6","35.0","0.0","26.0","11.0","6.0","58.0","13.0","1015.0","1012.0","0.0","2.0","23.1","33.3","0"
"22.9","34.7","0.0","85.0","24.0","31.0","58.0","84.0","1014.3","1013.8","2.0","7.0","28.2","21.6","1"
"19.5","33.7","6.4","28.0","6.0","7.0","68.0","32.0","1015.3","1012.3","5.0","7.0","25.9","32.9","0"
"22.7","35.7","0.0","30.0","7.0","7.0","26.0","15.0","1013.7","1010.8","6.0","5.0","25.6","34.9","0"
"21.9","36.4","0.0","37.0","22.0","15.0","51.0","27.0","1016.0","1013.3","1.0","3.0","27.0","34.9","0"
"23.3","37.2","0.0","33.0","17.0","7.0","46.0","26.0","1017.3","1015.2","0.0","3.0","28.9","34.8","0"
"23.8","39.7","0.0","30.0","13.0","11.0","41.0","18.0","1016.8","1013.5","1.0","2.0","30.7","37.7","0"
"24.8","41.6","0.0","37.0","4.0","13.0","33.0","14.0","1013.9","1010.3","1.0","1.0","33.0","41.4","0"
"24.5","42.4","0.0","56.0","20.0","7.0","21.0","9.0","1011.2","1007.5","1.0","1.0","33.9","39.5","0"
"25.7","37.1","0.0","46.0","13.0","24.0","38.0","27.0","1009.7","1009.4","1.0","4.0","30.0","34.7","0"
"20.5","34.8","0.0","35.0","11.0","19.0","36.0","22.0","1014.2","1011.7","4.0","1.0","22.5","32.8","0"
"20.6","39.4","0.0","50.0","17.0","4.0","48.0","25.0","1013.4","1009.4","1.0","6.0","28.1","35.6","0"
"24.8","38.2","0.2","57.0","13.0","20.0","51.0","20.0","1010.2","1005.8","2.0","3.0","28.9","37.5","0"
"21.2","29.0","0.0","43.0","20.0","17.0","42.0","13.0","1008.5","1007.1","1.0","1.0","21.9","28.4","0"
"15.6","24.6","0.0","46.0","22.0","24.0","32.0","14.0","1010.5","1009.3","0.0","1.0","17.2","22.8","0"
"11.3","28.8","0.0","50.0","9.0","20.0","29.0","12.0","1012.9","1011.2","0.0","0.0","18.1","26.5","0"
"13.8","34.8","0.0","28.0","6.0","9.0","18.0","6.0","1013.7","1010.6","0.0","0.0","23.2","32.9","0"
"20.2","40.3","0.0","30.0","7.0","11.0","12.0","6.0","1011.7","1008.7","1.0","1.0","29.1","38.6","0"
"23.2","41.3","0.0","44.0","13.0","22.0","14.0","2.0","1010.4","1007.4","0.0","0.0","31.8","39.6","0"
"26.2","40.3","0.0","39.0","13.0","19.0","24.0","12.0","1009.2","1007.3","0.0","1.0","32.9","39.3","0"
"21.5","38.8","0.0","33.0","15.0","7.0","22.0","13.0","1010.8","1008.5","1.0","1.0","26.9","36.6","0"
"22.1","41.2","0.0","33.0","13.0","17.0","9.0","8.0","1010.0","1007.3","1.0","6.0","29.5","40.2","0"
"24.2","41.3","0.0","33.0","11.0","9.0","11.0","6.0","1009.8","1006.7","1.0","1.0","31.5","40.4","0"
"27.0","41.8","0.0","44.0","11.0","15.0","26.0","13.0","1009.0","1006.3","2.0","3.0","34.1","40.1","0"
"22.9","36.2","0.0","39.0","11.0","9.0","28.0","22.0","1007.5","1006.4","7.0","7.0","30.2","32.4","0"
"24.0","38.0","0.0","33.0","9.0","7.0","33.0","18.0","1007.7","1006.9","4.0","3.0","27.9","35.6","0"
"24.0","37.4","0.0","46.0","24.0","24.0","43.0","19.0","1011.9","1009.2","1.0","2.0","27.1","35.6","0"
"24.0","34.1","0.0","43.0","24.0","9.0","45.0","29.0","1010.4","1007.5","5.0","7.0","26.5","33.0","0"
"23.8","32.1","0.0","39.0","15.0","17.0","64.0","32.0","1010.4","1008.0","7.0","7.0","25.2","31.8","0"
"23.1","33.3","0.0","54.0","26.0","31.0","48.0","20.0","1010.3","1007.1","7.0","5.0","23.6","31.3","0"
"22.7","29.9","0.0","56.0","24.0","24.0","59.0","87.0","1008.0","1005.9","7.0","8.0","24.0","22.2","1"
"19.2","29.6","36.0","57.0","6.0","19.0","99.0","53.0","1006.9","1003.8","8.0","7.0","19.8","29.3","1"
"19.7","26.8","7.2","39.0","9.0","20.0","93.0","76.0","1006.3","1007.1","8.0","7.0","22.0","24.4","0"
"19.8","25.3","0.0","37.0","11.0","17.0","83.0","91.0","1012.1","1011.4","7.0","7.0","20.5","22.5","1"
"19.7","30.8","8.4","31.0","17.0","9.0","74.0","55.0","1016.3","1014.2","4.0","7.0","24.4","29.8","0"
"22.7","30.4","0.0","35.0","13.0","6.0","80.0","76.0","1018.1","1016.2","7.0","7.0","24.5","25.9","1"
"20.8","32.1","9.6","31.0","20.0","7.0","77.0","48.0","1018.8","1017.3","1.0","3.0","24.1","31.1","0"
"20.8","33.9","0.0","26.0","15.0","6.0","64.0","37.0","1018.3","1015.9","1.0","4.0","25.7","31.4","0"
"23.4","35.7","0.0","24.0","9.0","9.0","52.0","34.0","1015.4","1012.1","1.0","5.0","28.5","33.1","0"
"23.7","33.8","0.0","61.0","13.0","19.0","55.0","80.0","1009.8","1008.4","5.0","7.0","28.1","24.4","1"
"20.1","23.6","22.4","24.0","9.0","9.0","97.0","92.0","1010.0","1007.7","8.0","8.0","21.4","22.5","1"
"21.1","26.5","44.0","44.0","19.0","13.0","96.0","76.0","1002.8","1004.7","8.0","7.0","22.5","24.5","0"
"18.0","29.3","0.6","35.0","15.0","19.0","64.0","37.0","1009.6","1008.8","2.0","1.0","21.8","28.5","0"
"18.0","30.3","0.0","30.0","6.0","9.0","66.0","35.0","1012.2","1011.2","1.0","2.0","22.8","29.0","0"
"19.9","31.7","0.0","30.0","13.0","11.0","69.0","33.0","1013.5","1012.9","0.0","1.0","23.3","30.6","0"
"19.3","30.7","0.0","39.0","17.0","15.0","65.0","38.0","1016.7","1016.2","0.0","1.0","22.8","29.6","0"
"17.5","30.7","0.0","41.0","19.0","9.0","54.0","39.0","1019.4","1017.1","1.0","3.0","20.7","28.7","0"
"20.6","32.5","0.0","30.0","19.0","7.0","61.0","32.0","1018.0","1014.8","2.0","3.0","23.3","31.1","0"
"20.9","34.0","0.0","31.0","9.0","6.0","51.0","25.0","1016.9","1014.2","1.0","2.0","25.8","33.1","0"
"22.0","35.3","0.0","37.0","7.0","19.0","55.0","30.0","1015.8","1012.4","5.0","6.0","26.6","33.4","0"
"22.4","30.9","0.0","35.0","19.0","13.0","41.0","30.0","1016.4","1015.3","1.0","1.0","22.8","29.9","0"
"14.3","31.4","0.0","24.0","13.0","9.0","50.0","20.0","1017.1","1015.9","2.0","2.0","20.7","29.6","0"
"19.3","33.8","0.0","37.0","20.0","13.0","64.0","34.0","1018.8","1017.4","1.0","4.0","22.5","32.5","0"
"20.6","32.3","0.0","48.0","20.0","13.0","55.0","35.0","1021.5","1018.6","1.0","3.0","22.6","31.8","0"
"18.7","32.5","0.0","30.0","17.0","6.0","52.0","27.0","1018.7","1016.1","6.0","7.0","24.0","31.3","0"
"21.6","31.6","0.0","28.0","7.0","4.0","48.0","30.0","1015.8","1013.2","8.0","8.0","24.8","31.1","0"
"14.6","25.8","0.0","63.0","9.0","6.0","71.0","79.0","1010.7","1009.3","5.0","7.0","20.8","18.0","1"
"14.2","30.4","5.2","35.0","19.0","13.0","76.0","41.0","1012.2","1010.4","2.0","4.0","22.0","28.1","0"
"18.7","26.8","0.0","41.0","22.0","19.0","68.0","49.0","1012.8","1012.3","0.0","7.0","22.4","26.1","0"
"18.1","21.9","0.0","28.0","11.0","13.0","92.0","82.0","1010.3","1008.2","7.0","7.0","19.1","21.2","1"
"16.9","29.2","2.2","28.0","9.0","13.0","94.0","48.0","1010.2","1007.0","7.0","6.0","19.4","28.7","0"
"19.1","29.5","0.0","30.0","15.0","13.0","70.0","45.0","1009.1","1006.7","2.0","7.0","24.6","28.7","0"
"20.3","29.1","0.0","43.0","24.0","17.0","75.0","63.0","1009.0","1007.2","7.0","7.0","23.2","26.7","1"
"20.5","29.9","6.6","63.0","26.0","24.0","72.0","62.0","1009.6","1007.4","7.0","7.0","24.8","28.5","1"
"20.0","32.0","37.0","43.0","15.0","20.0","85.0","58.0","1009.8","1007.3","6.0","6.0","24.7","30.8","0"
"19.4","27.1","0.0","35.0","13.0","13.0","80.0","43.0","1011.5","1009.3","7.0","5.0","21.6","25.9","0"
"13.6","27.4","0.0","33.0","6.0","15.0","49.0","32.0","1009.9","1005.9","1.0","1.0","20.2","26.3","0"
"14.1","27.6","0.0","33.0","13.0","17.0","46.0","31.0","1007.3","1006.7","0.0","1.0","20.9","26.3","0"
"14.1","28.2","0.0","22.0","9.0","6.0","40.0","28.0","1013.5","1011.2","1.0","5.0","21.9","27.6","0"
"15.3","31.0","0.0","26.0","9.0","7.0","35.0","22.0","1012.6","1008.7","1.0","1.0","24.5","30.2","0"
"17.8","35.0","0.0","39.0","17.0","13.0","39.0","23.0","1008.5","1004.3","1.0","6.0","26.2","33.9","0"
"19.8","29.4","0.0","35.0","11.0","15.0","48.0","26.0","1005.5","1004.3","1.0","3.0","22.2","28.4","0"
"16.7","23.7","0.0","33.0","4.0","17.0","62.0","43.0","1007.7","1006.6","8.0","7.0","18.3","22.6","0"
"16.4","24.5","0.0","35.0","17.0","20.0","79.0","50.0","1006.8","1005.1","8.0","7.0","17.5","22.4","0"
"16.3","27.4","0.0","69.0","17.0","31.0","72.0","26.0","1003.1","997.4","7.0","6.0","18.1","26.8","0"
"9.5","22.9","0.0","50.0","26.0","19.0","50.0","23.0","1008.2","1008.0","5.0","1.0","13.0","21.3","0"
"11.0","26.3","0.0","33.0","9.0","11.0","45.0","26.0","1012.5","1010.8","0.0","1.0","17.4","24.8","0"
"13.3","30.5","0.0","31.0","15.0","9.0","33.0","18.0","1015.8","1013.5","1.0","1.0","21.8","29.1","0"
"16.6","33.8","0.0","31.0","11.0","7.0","27.0","15.0","1016.6","1015.2","1.0","1.0","26.0","32.3","0"
"18.6","33.8","0.0","35.0","19.0","15.0","46.0","23.0","1018.6","1015.4","1.0","4.0","26.5","32.9","0"
"21.6","34.9","0.0","41.0","15.0","7.0","56.0","33.0","1013.8","1008.9","1.0","7.0","26.4","32.1","1"
"17.9","32.2","12.6","59.0","7.0","13.0","93.0","52.0","1007.1","1000.7","7.0","1.0","21.0","29.9","1"
"15.5","26.1","7.2","48.0","15.0","24.0","66.0","27.0","1006.8","1006.7","3.0","1.0","18.4","24.0","0"
"12.0","29.5","0.0","28.0","17.0","7.0","41.0","26.0","1013.5","1011.7","0.0","1.0","18.5","27.8","0"
"18.3","34.5","0.0","41.0","17.0","6.0","63.0","40.0","1014.2","1011.9","1.0","5.0","25.6","30.9","0"
"20.4","36.2","0.0","30.0","13.0","9.0","46.0","18.0","1014.9","1013.0","1.0","2.0","28.9","35.5","0"
"22.4","39.8","0.0","41.92093023255814","7.0","11.0","41.0","17.0","1013.9","1010.7","0.0","1.0","30.8","37.4","0"
"23.2","38.7","0.0","30.0","15.0","7.0","35.0","21.0","1012.3","1009.1","0.0","2.0","31.2","37.3","0"
"24.1","38.1","0.0","37.0","11.0","24.0","37.0","27.0","1010.9","1008.2","4.0","7.0","30.7","35.1","0"
"21.7","36.3","0.0","50.0","4.0","22.0","46.0","26.0","1009.1","1006.5","3.0","2.0","29.2","34.7","0"
"17.5","34.2","0.0","35.0","6.0","20.0","46.0","8.0","1008.4","1005.9","1.0","6.0","23.8","33.2","0"
"17.8","31.3","0.0","39.0","9.0","17.0","20.0","10.0","1005.7","1004.7","2.0","4.0","23.7","29.0","0"
"17.6","33.5","0.0","31.0","7.0","9.0","34.0","12.0","1006.9","1005.1","1.0","1.0","24.5","32.4","0"
"19.7","32.5","0.0","39.0","13.0","9.0","50.0","28.0","1009.9","1007.1","5.0","7.0","22.9","30.9","0"
"22.3","33.4","0.0","33.0","17.0","9.0","57.0","36.0","1009.2","1006.4","3.0","7.0","26.0","31.6","0"
"21.9","35.4","0.0","65.0","13.0","17.0","54.0","32.0","1009.7","1006.4","1.0","6.0","26.6","33.5","1"
"21.9","32.1","2.0","48.0","20.0","20.0","60.0","41.0","1009.0","1006.4","6.0","8.0","25.1","30.1","1"
"21.1","32.4","2.4","50.0","17.0","24.0","91.0","49.0","1006.1","1001.9","8.0","5.0","22.4","29.7","1"
"22.0","35.0","5.8","48.0","28.0","20.0","73.0","44.0","1004.4","1002.7","6.0","7.0","25.7","33.8","0"
"25.7","33.1","0.0","52.0","30.0","31.0","67.0","50.0","1006.0","1003.2","7.0","7.0","27.3","31.4","0"
"26.0","32.7","0.0","56.0","26.0","17.0","55.0","46.0","1005.5","1003.7","8.0","8.0","26.1","31.8","1"
"21.8","27.9","2.6","41.92093023255814","6.0","6.0","91.0","68.0","1007.0","1005.8","8.0","0.0","24.2","27.3","0"
"20.2","35.3","0.0","41.92093023255814","6.0","13.0","60.0","36.0","1007.8","1003.8","0.0","0.0","28.2","34.5","0"
"21.6","33.9","0.0","41.0","13.0","19.0","52.0","23.0","1005.7","1004.1","1.0","1.0","26.9","33.0","0"
"14.9","31.0","0.0","33.0","9.0","11.0","49.0","24.0","1008.2","1005.8","0.0","0.0","21.2","28.8","0"
"18.0","33.0","0.0","31.0","9.0","9.0","39.0","14.0","1007.5","1005.8","3.0","1.0","22.8","32.0","0"
"17.4","37.1","0.0","28.0","15.0","13.0","46.0","17.0","1008.2","1006.0","0.0","1.0","25.8","34.3","0"
"23.3","36.0","0.0","54.0","22.0","11.0","53.0","25.0","1010.8","1008.6","2.0","5.0","26.6","35.1","1"
"19.6","36.8","5.0","50.0","17.0","6.0","54.0","21.0","1012.4","1010.1","1.0","3.0","26.1","35.9","1"
"20.6","37.3","1.2","41.0","15.0","13.0","54.0","27.0","1009.6","1006.3","2.0","3.0","26.1","35.0","0"
"24.0","40.3","0.0","52.0","19.0","28.0","34.0","17.0","1003.7","1001.3","6.0","7.0","29.7","39.8","0"
"21.6","40.6","0.0","31.0","7.0","9.0","27.0","14.0","1008.1","1006.2","1.0","1.0","28.7","39.2","0"
"25.7","44.3","0.0","39.0","17.0","22.0","21.0","14.0","1009.9","1008.9","1.0","5.0","35.7","43.2","0"
"26.1","42.0","0.0","46.0","11.0","9.0","35.0","32.0","1013.7","1015.6","1.0","0.0","31.5","30.1","0"
"21.8","36.8","0.0","37.0","9.0","17.0","27.0","8.0","1015.9","1013.5","0.0","0.0","26.6","35.9","0"
"21.2","36.2","0.0","41.0","24.0","6.0","50.0","23.0","1016.1","1014.1","0.0","0.0","24.3","34.4","0"
"22.2","37.6","0.0","41.0","24.0","6.0","44.0","20.0","1017.9","1014.7","0.0","0.0","27.0","35.4","0"
"22.1","39.1","0.0","37.0","9.0","13.0","32.0","17.0","1015.6","1011.6","0.0","1.0","30.1","36.9","0"
"24.3","39.8","0.0","50.0","20.0","15.0","43.0","28.0","1011.1","1007.7","0.0","7.0","31.0","37.6","1"
"22.8","29.8","10.6","43.0","15.0","24.0","88.0","94.0","1011.9","1010.5","7.0","8.0","24.1","25.0","1"
"24.0","36.5","7.8","30.0","9.0","4.0","69.0","44.0","1013.4","1011.7","2.0","6.0","29.6","34.5","0"
"24.2","37.6","0.0","35.0","15.0","15.0","57.0","34.0","1012.9","1010.5","0.0","1.0","29.5","36.4","0"
"26.5","37.0","0.0","61.0","19.0","22.0","52.0","42.0","1009.9","1008.3","0.0","5.0","29.0","35.4","0"
"22.0","28.2","0.0","44.0","13.0","19.0","63.0","62.0","1016.3","1017.3","7.0","7.0","24.3","21.3","0"
"16.2","25.3","0.0","35.0","9.0","9.0","49.0","48.0","1018.0","1016.4","7.0","7.0","17.3","24.1","0"
"17.2","34.0","0.0","28.0","9.0","11.0","55.0","30.0","1015.7","1012.9","1.0","1.0","21.4","32.0","0"
"20.8","34.7","0.0","37.0","20.0","9.0","51.0","39.0","1018.3","1016.3","1.0","5.0","24.3","32.5","0"
"22.5","35.6","0.0","46.0","20.0","7.0","48.0","40.0","1018.7","1015.6","3.0","6.0","25.0","31.6","0"
